year,collector_id,full_id,full_tree,site,Population,cone_id,serot,cone_length_mm,cone_x,cone_y,no_filled,no_unfilled,tot_seed_wgt_g,mism_g,seed_1_g,seed_2_g,seed_3_g,seed_4_g,seed_5_g,seed_6_g,seed_7_g,seed_8_g,seed_9_g,seed_10_g,no_scal,tot_scale_wt_g,mibm_g,scale_1_g,scale_2_g,scale_3_g,scale_4_g,scale_5_g,scale_6_g,scale_7_g,scale_8_g,scale_9_g,scale_10_g,no_immature
21/22,TP,P1B,P1,Pukaki,A,B,N,41,,,115,,0.4734,0.004116522,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P1D,P1,Pukaki,A,D,N,40,,,97,,0.5428,0.005595876,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P1E,P1,Pukaki,A,E,N,40,,,83,,0.4697,0.005659036,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,TP,P2A,P2,Pukaki,A,A,N,37,,,64,,0.3238,0.005059375,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P3A,P3,Pukaki,A,A,N,46,,,93,,0.4065,0.004370968,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P3B,P3,Pukaki,A,B,N,40,,,68,,0.3205,0.004713235,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,TP,P3C,P3,Pukaki,A,C,N,43,,,83,,0.3613,0.004353012,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P4A,P4,Pukaki,A,A,N,52,,,130,,0.693,0.005330769,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P4B,P4,Pukaki,A,B,N,43,,,97,,0.401,0.004134021,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P5A,P5,Pukaki,A,A,N,42,,,74,,0.2938,0.00397027,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P5B,P5,Pukaki,A,B,N,40,,,64,,0.2578,0.004028125,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,TP,P5C,P5,Pukaki,A,C,N,44,,,69,,0.3328,0.004823188,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,TP,P5D,P5,Pukaki,A,D,N,40,,,60,,0.21,0.0035,,,,,,,,,,,,,,,,,,,,,,,,6
21/22,TP,P5E,P5,Pukaki,A,E,N,42,,,72,,0.2827,0.003926389,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,TP,P6A,P6,Pukaki,A,A,N,49,,,112,,0.5863,0.005234821,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P6B,P6,Pukaki,A,B,N,53,,,117,,0.6633,0.005669231,,,,,,,,,,,,,,,,,,,,,,,,2
21/22,TP,P6C,P6,Pukaki,A,C,N,43,,,88,,0.5734,0.006515909,,,,,,,,,,,,,,,,,,,,,,,,2
21/22,TP,P6D,P6,Pukaki,A,D,N,47,,,123,,0.722,0.005869919,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,TP,P6E,P6,Pukaki,A,E,N,45,,,80,,0.601,0.0075125,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P7A,P7,Pukaki,A,A,N,40,,,91,,0.4055,0.004456044,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P7B,P7,Pukaki,A,B,N,36,,,72,,0.3395,0.004715278,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,TP,P7C,P7,Pukaki,A,C,N,39,,,86,,0.3832,0.004455814,,,,,,,,,,,,,,,,,,,,,,,,3
21/22,TP,P7D,P7,Pukaki,A,D,N,36,,,77,,0.3258,0.004231169,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,TP,P7E,P7,Pukaki,A,E,N,38,,,81,,0.3526,0.004353086,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,TP,P8A,P8,Pukaki,A,A,N,56,,,80,,0.5273,0.00659125,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P8B,P8,Pukaki,A,B,N,53,,,80,,0.5308,0.006635,,,,,,,,,,,,,,,,,,,,,,,,5
21/22,TP,P8C,P8,Pukaki,A,C,N,57,,,78,,0.5027,0.006444872,,,,,,,,,,,,,,,,,,,,,,,,12
21/22,TP,P8D,P8,Pukaki,A,D,N,60,,,91,,0.5785,0.006357143,,,,,,,,,,,,,,,,,,,,,,,,9
21/22,TP,P8E,P8,Pukaki,A,E,N,51,,,69,,0.5241,0.007595652,,,,,,,,,,,,,,,,,,,,,,,,7
21/22,TP,P9A,P9,Pukaki,A,A,N,52,,,121,,0.6129,0.005065289,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P9B,P9,Pukaki,A,B,N,53,,,111,,0.6031,0.005433333,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P9C,P9,Pukaki,A,C,N,53,,,133,,0.7457,0.005606767,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P9D,P9,Pukaki,A,D,N,53,,,133,,0.6895,0.005184211,,,,,,,,,,,,,,,,,,,,,,,,4
21/22,TP,P9E,P9,Pukaki,A,E,N,53,,,121,,0.6393,0.005283471,,,,,,,,,,,,,,,,,,,,,,,,2
21/22,TP,P10A,P10,Pukaki,A,A,N,48,,,76,,0.3635,0.004782895,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P10B,P10,Pukaki,A,B,N,44,,,55,,0.2781,0.005056364,,,,,,,,,,,,,,,,,,,,,,,,21
21/22,TP,P10C,P10,Pukaki,A,C,N,44,,,62,,0.2217,0.003575806,,,,,,,,,,,,,,,,,,,,,,,,
21/22,TP,P10D,P10,Pukaki,A,D,N,37,,,63,,0.185,0.002936508,,,,,,,,,,,,,,,,,,,,,,,,11
21/22,TP,P10E,P10,Pukaki,A,E,N,32,,,31,,0.1178,0.0038,,,,,,,,,,,,,,,,,,,,,,,,13
21/22,MS,P11A,P11,Pukaki,A,A,N,60,,,84,,0.4914,0.00585,,,,,,,,,,,,,,,,,,,,,,,,
