Collector ID,ID,Site,Tree #,Cone,Cone Length (mm),# Seeds,Total Seed Weight (g) (Wing & Wingless),# Wingless Seed,Total Wingless Seed Weight (g),# Winged Seed,Total Winged Seed Weight (g),# sml immature Seed,Comments,Photo?
A,P1A,Pukaki,1,A,40,,,,,,,,"Old cone, seed all gone",
A,P1B,Pukaki,1,B,41,115,0.4734,46,0.181,69,0.2721,,,
A,P1C,Pukaki,1,C,41,,,,,,,,"Old cone, seed all gone",
A,P1D,Pukaki,1,D,40,97,0.5428,13,0.0678,84,0.4675,,,
A,P1E,Pukaki,1,E,40,83,0.4697,,,,,4,,
A,P2A,Pukaki,2,A,37,64,0.3238,,,,,,,
A,P2B,Pukaki,2,B,40,,,,,,,,"Old cone, seed all gone",
A,P2C,Pukaki,2,C,41,,,,,,,,"Old cone, seed all gone",
A,P2D,Pukaki,2,D,48,,,,,,,,"Old cone, seed all gone",
A,P2E,Pukaki,2,E,44,,,,,,,,"Old cone, seed all gone",
A,P3A,Pukaki,3,A,46,93,0.4065,,,,,,,
A,P3B,Pukaki,3,B,40,68,0.3205,,,,,3,,
A,P3C,Pukaki,3,C,43,83,0.3613,,,,,,,
A,P3D,Pukaki,3,D,35,,,,,,,,"Old cone, seed all gone",
A,P3E,Pukaki,3,E,50,,,,,,,,"Old cone, seed all gone",
A,P4A,Pukaki,4,A,52,130,0.693,,,,,,,y
A,P4B,Pukaki,4,B,43,97,0.401,,,,,,,y
A,P4C,Pukaki,4,C,44,,,,,,,,"Old cone, seed all gone",y
A,P4D,Pukaki,4,D,35,,,,,,,,"Old cone, seed all gone",y
A,P4E,Pukaki,4,E,43,,,,,,,,"Old cone, seed all gone",y
B,P5A,Pukaki,5,A,42,74,0.2938,,,,,,,
B,P5B,Pukaki,5,B,40,64,0.2578,,,,,4,,
B,P5C,Pukaki,5,C,44,69,0.3328,,,,,3,,
B,P5D,Pukaki,5,D,40,60,0.21,,,,,6,,
B,P5E,Pukaki,5,E,42,72,0.2827,,,,,4,,
B,P6A,Pukaki,6,A,49,112,0.5863,,,,,,,
B,P6B,Pukaki,6,B,53,117,0.6633,,,,,2,,
B,P6C,Pukaki,6,C,43,88,0.5734,,,,,2,,
B,P6D,Pukaki,6,D,47,123,0.722,,,,,3,,
B,P6E,Pukaki,6,E,45,80,0.601,,,,,,,
B,P7A,Pukaki,7,A,40,91,0.4055,,,,,,,
B,P7B,Pukaki,7,B,36,72,0.3395,,,,,7,,
B,P7C,Pukaki,7,C,39,86,0.3832,,,,,3,,
B,P7D,Pukaki,7,D,36,77,0.3258,,,,,5,,
B,P7E,Pukaki,7,E,38,81,0.3526,,,,,4,,
B,P8A,Pukaki,8,A,56,80,0.5273,,,,,,,
B,P8B,Pukaki,8,B,53,80,0.5308,,,,,5,,
B,P8C,Pukaki,8,C,57,78,0.5027,,,,,12,,
B,P8D,Pukaki,8,D,60,91,0.5785,,,,,9,,
