image_name,region,tree,tree_height,tree_x,tree_y,dbh,tree_age,position,cone,seed,cone_length,undev_seed_count,dev_seed_count,seed_mg,wing_area_mm2,wing_width_mm,wing_length_mm,seed_area_mm2,seed_width_mm,seed_length_mm,circle_area_mm2,circle_width_mm,cone_x,cone_y
PUK_1_BOT_1_S1,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S1,50.34,3,82,4.3,56.67274608,4.207317073,17.66768293,6.588022531,2.164634146,4.054878049,19.63495408,5,23.07,23.02
PUK_1_BOT_1_S10,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S10,50.34,3,82,5,59.31706348,4.439393939,17.63636364,6.280047348,2.196969697,3.893939394,19.63495408,5,23.07,23.02
PUK_1_BOT_1_S2,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S2,50.34,3,82,4.4,48.69679013,3.818181818,17.62121212,4.909255333,1.893939394,3.242424242,19.63495408,5,23.07,23.02
PUK_1_BOT_1_S3,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S3,50.34,3,82,5,54.97580629,4.242424242,17.43939394,6.875790571,2.363636364,3.772727273,19.63495408,5,23.07,23.02
PUK_1_BOT_1_S4,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S4,50.34,3,82,5.4,62.09208868,4.545454545,17.6969697,6.322648618,2.318181818,3.590909091,19.63495408,5,23.07,23.02
PUK_1_BOT_1_S5,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S5,50.34,3,82,4.6,55.19580402,4.817629179,15.51671733,5.741232207,2.203647416,3.389057751,19.63495408,5,23.07,23.02
PUK_1_BOT_1_S6,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S6,50.34,3,82,5,60.40564058,4.486404834,17.70392749,5.622192322,2.205438066,3.640483384,19.63495408,5,23.07,23.02
PUK_1_BOT_1_S7,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S7,50.34,3,82,4.9,61.40847095,4.294478528,17.97546012,6.200659553,2.26993865,3.819018405,19.63495408,5,23.07,23.02
PUK_1_BOT_1_S8,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S8,50.34,3,82,4.2,46.45829814,4.192073171,15.36585366,5.725239852,2.225609756,3.643292683,19.63495408,5,23.07,23.02
PUK_1_BOT_1_S9,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C1,S9,50.34,3,82,4.6,62.61655169,4.742424242,17.56060606,6.03857761,2.196969697,3.818181818,19.63495408,5,23.07,23.02
PUK_1_BOT_2_S1,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S1,48.29,6,77,4.8,60.5339105,4.589665653,17.58358663,5.698706133,2.17325228,3.738601824,19.63495408,5,22.48,22.04
PUK_1_BOT_2_S10,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S10,48.29,6,77,4.6,60.18921507,4.741641337,16.47416413,5.584608664,2.188449848,3.556231003,19.63495408,5,22.48,22.04
PUK_1_BOT_2_S2,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S2,48.29,6,77,4.7,59.02211373,4.333333333,17.65151515,5.92154079,2.272727273,3.666666667,19.63495408,5,22.48,22.04
PUK_1_BOT_2_S3,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S3,48.29,6,77,4.7,54.3485454,4.348484848,17.98484848,5.940497081,2.212121212,3.863636364,19.63495408,5,22.48,22.04
PUK_1_BOT_2_S4,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S4,48.29,6,77,5,61.16370441,4.242424242,18.39393939,5.855675224,2.257575758,3.712121212,19.63495408,5,22.48,22.04
PUK_1_BOT_2_S5,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S5,48.29,6,77,5,62.66119564,4.939577039,17.37160121,6.217458024,2.296072508,3.821752266,19.63495408,5,22.48,22.04
PUK_1_BOT_2_S6,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S6,48.29,6,77,5,61.56318916,4.409090909,18.03030303,6.181683062,2.181818182,3.833333333,19.63495408,5,22.48,22.04
PUK_1_BOT_2_S7,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S7,48.29,6,77,4.7,52.36481815,4.697885196,15.99697885,5.81628622,2.265861027,3.716012085,19.63495408,5,22.48,22.04
PUK_1_BOT_2_S8,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S8,48.29,6,77,4.6,54.78102557,4.108761329,18.06646526,5.423392793,2.099697885,3.640483384,19.63495408,5,22.48,22.04
PUK_1_BOT_2_S9,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C2,S9,48.29,6,77,4.3,48.47661393,4.454545455,15,5.172301471,1.954545455,3.636363636,19.63495408,5,22.48,22.04
PUK_1_BOT_3_S1,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S1,49.51,12,76,5,66.37900872,5.196969697,17.8030303,6.462136787,2.303030303,4.136363636,19.63495408,5,23.02,22.89
PUK_1_BOT_3_S10,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S10,49.51,12,76,5.1,62.43689513,4.46969697,18.57575758,6.766079001,2.212121212,4.272727273,19.63495408,5,23.02,22.89
PUK_1_BOT_3_S2,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S2,49.51,12,76,4.4,58.3989256,4.316109422,16.88449848,6.601149143,2.370820669,3.860182371,19.63495408,5,23.02,22.89
PUK_1_BOT_3_S3,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S3,49.51,12,76,4.9,62.18317287,4.787878788,17.33333333,6.111694615,2.136363636,3.924242424,19.63495408,5,23.02,22.89
PUK_1_BOT_3_S4,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S4,49.51,12,76,5.4,53.73591249,4.088145897,17.59878419,6.54536646,2.249240122,4.14893617,19.63495408,5,23.02,22.89
PUK_1_BOT_3_S5,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S5,49.51,12,76,4.8,56.01665686,4.333333333,17.45454545,6.738993641,2.424242424,3.984848485,19.63495408,5,23.02,22.89
PUK_1_BOT_3_S6,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S6,49.51,12,76,5.3,60.35848128,4.681818182,17.46969697,6.515773504,2.242424242,3.924242424,19.63495408,5,23.02,22.89
PUK_1_BOT_3_S7,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S7,49.51,12,76,4.7,58.21427514,4.516616314,16.78247734,6.319363929,2.296072508,3.836858006,19.63495408,5,23.02,22.89
PUK_1_BOT_3_S8,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S8,49.51,12,76,5,52.26509669,4.696969697,14.60606061,6.114737456,2.378787879,3.636363636,19.63495408,5,23.02,22.89
PUK_1_BOT_3_S9,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C3,S9,49.51,12,76,5.4,56.88462766,4.19939577,17.82477341,6.855965653,2.265861027,4.274924471,19.63495408,5,23.02,22.89
PUK_1_BOT_4_S1,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S1,49.61,12,84,4.6,58.91534407,4.53030303,17.03030303,6.273368856,2.318181818,3.636363636,19.63495408,5,23.11,22.07
PUK_1_BOT_4_S10,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S10,49.61,12,84,5.2,64.217297,4.621212121,18.37878788,5.9447534,2.181818182,3.696969697,19.63495408,5,23.11,22.07
PUK_1_BOT_4_S2,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S2,49.61,12,84,4.9,57.88667413,4.441087613,17.23564955,5.889528467,2.416918429,3.580060423,19.63495408,5,23.11,22.07
PUK_1_BOT_4_S3,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S3,49.61,12,84,4.8,63.76383866,4.863636364,17.56060606,6.030185796,2.181818182,3.863636364,19.63495408,5,23.11,22.07
PUK_1_BOT_4_S4,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S4,49.61,12,84,4.8,56.66393129,4.486404834,16.52567976,5.724618091,2.326283988,3.564954683,19.63495408,5,23.11,22.07
PUK_1_BOT_4_S5,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S5,49.61,12,84,3.9,56.4950992,4.544072948,15.88145897,5.225950884,1.975683891,3.738601824,19.63495408,5,23.11,22.07
PUK_1_BOT_4_S6,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S6,49.61,12,84,4.3,59.95298498,5.015197568,16.07902736,5.60741092,2.158054711,3.860182371,19.63495408,5,23.11,22.07
PUK_1_BOT_4_S7,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S7,49.61,12,84,4.8,58.89551141,4.772036474,17.26443769,5.823753108,2.3556231,3.662613982,19.63495408,5,23.11,22.07
PUK_1_BOT_4_S8,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S8,49.61,12,84,4,60.83890763,4.787234043,16.00303951,5.835316048,2.142857143,3.799392097,19.63495408,5,23.11,22.07
PUK_1_BOT_4_S9,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C4,S9,49.61,12,84,4.6,54.82089435,4.52887538,16.30699088,5.363498259,1.975683891,3.738601824,19.63495408,5,23.11,22.07
PUK_1_BOT_5_S1,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S1,43.01,11,66,4.6,57.3433561,4.290030211,17.55287009,5.684648216,2.069486405,3.957703927,19.63495408,5,20.72,19.55
PUK_1_BOT_5_S10,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S10,43.01,11,66,4.3,52.85979821,4.361702128,15.95744681,5.52171557,2.142857143,3.617021277,19.63495408,5,20.72,19.55
PUK_1_BOT_5_S2,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S2,43.01,11,66,4.4,60.05322009,4.652567976,16.93353474,5.434707432,1.993957704,3.640483384,19.63495408,5,20.72,19.55
PUK_1_BOT_5_S3,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S3,43.01,11,66,4.7,53.12483222,4.546827795,15.78549849,5.589343917,2.190332326,3.610271903,19.63495408,5,20.72,19.55
PUK_1_BOT_5_S4,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S4,43.01,11,66,1.9,32.40319676,3.651515152,12.8030303,5.540390727,2.242424242,3.515151515,19.63495408,5,20.72,19.55
PUK_1_BOT_5_S5,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S5,43.01,11,66,4.7,54.86813882,4.257575758,17.10606061,5.291692999,2.121212121,3.712121212,19.63495408,5,20.72,19.55
PUK_1_BOT_5_S6,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S6,43.01,11,66,4.7,52.54012982,4.344512195,15.5945122,5.746659149,2.317073171,3.597560976,19.63495408,5,20.72,19.55
PUK_1_BOT_5_S7,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S7,43.01,11,66,4.9,48.89288293,4.344512195,15.18292683,5.555104932,2.256097561,3.536585366,19.63495408,5,20.72,19.55
PUK_1_BOT_5_S8,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S8,43.01,11,66,4.5,55.00525797,4.257575758,16.84848485,5.69919266,2.121212121,3.757575758,19.63495408,5,20.72,19.55
PUK_1_BOT_5_S9,PUK,1,6.54,3.4,3.4,9.4,9,BOT,T1_BOT_C5,S9,43.01,11,66,5.1,58.96465159,4.878787879,16.95454545,5.637148975,2.227272727,3.787878788,19.63495408,5,20.72,19.55
