cone_id,tree_id,date_collected,region,longitude,latitude,sprayed,age,years_since_treatment,cone_length,cone_x,cone_y,mature_seed,immature_seed,total_mature_weight,ttc_n,germ_test_n,no_viable,via.,no_germinated,germ.,post_germ_via_n,post_germ_germ.via
1,1,10/10/2022,Hanmer,172.8384994,-42.4617432,unsprayed,2,NA,39.9,23.7,22,26,7,0.1283,13,13,12,92.30769231,11,84.61538462,1,92.30769231
2,2,10/10/2022,Hanmer,172.8384994,-42.4617432,unsprayed,2,NA,34.7,20.9,20.9,3,13,0.0135,2,1,1,100,0,0,1,100
3,3,10/10/2022,Hanmer,172.8384994,-42.4617432,unsprayed,2,NA,35.9,20.3,21.7,33,13,0.1414,17,16,13,93.75,14,87.5,1,93.75
4,4,10/10/2022,Hanmer,172.8384994,-42.4617432,unsprayed,2,NA,26,21,21,47,10,0.168,24,23,17,73.91304348,14,60.86956522,3,73.91304348
5,5,2/03/2023,Pukaki,170.2481936,-44.13062681,sprayed,6,3,NA,NA,NA,13,5,0.041,6,6,3,66.66666667,1,16.66666667,0,66.66666667
6,6,2/03/2023,Pukaki,170.2481936,-44.13062681,sprayed,6,3,34,17,16,23,11,0.1336,12,11,10,72.72727273,6,54.54545455,2,72.72727273
7,7,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,51,25,23,30,41,0.1761,15,15,12,100,15,100,0,100
8,8,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,60,25,24,35,65,0.2518,18,17,16,100,17,100,0,100
9,9,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,52,25,26,35,42,0.1539,18,17,16,64.70588235,11,64.70588235,0,64.70588235
10,10,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,56,26,24,38,38,0.2371,19,19,14,94.73684211,18,94.73684211,0,94.73684211
11,11,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,47,26,25,26,45,0.1576,13,13,10,100,10,76.92307692,3,100
12,12,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,62,25,24,52,51,0.3265,26,26,22,80.76923077,21,80.76923077,0,80.76923077
13,13,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,50,24,25,34,30,0.1808,17,17,11,47.05882353,8,47.05882353,0,47.05882353
14,14,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,56,25,26,46,37,0.2848,23,23,17,78.26086957,18,78.26086957,0,78.26086957
15,15,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,53,24,24,24,45,0.1545,12,12,12,83.33333333,10,83.33333333,0,83.33333333
16,16,14/03/2023,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,56,25,24,43,40,0.2319,22,21,19,85.71428571,18,85.71428571,0,85.71428571
17,17,17/03/2023,Flock Hill,171.7350197,-43.14722285,sprayed,7,6,45,21,23,56,9,0.2018,28,28,24,82.14285714,20,71.42857143,3,82.14285714
18,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,3,NA,51,30,29,95,32,0.3831,95,0,71,74.73684211,NA,NA,NA,NA
19,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,3,NA,45,31,30,50,40,0.2045,50,0,40,80,NA,NA,NA,NA
20,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,3,NA,48,29,28,61,68,0.3169,61,0,59,96.72131148,NA,NA,NA,NA
21,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,3,NA,47,29,28,84,64,0.3286,84,0,72,85.71428571,NA,NA,NA,NA
22,NA,14/09/2022,Stronvar,173.3996813,-41.72475703,unsprayed,3,NA,53,31,29,99,69,0.4455,99,0,79,79.7979798,NA,NA,NA,NA
23,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,49,23,23,95,29,0.4243,95,0,91,95.78947368,NA,NA,NA,NA
24,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,55,24,23,108,43,0.569,108,0,99,91.66666667,NA,NA,NA,NA
25,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,53,24,23,102,46,0.4515,102,0,89,87.25490196,NA,NA,NA,NA
26,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,45,22,20,84,37,0.3324,84,0,80,95.23809524,NA,NA,NA,NA
27,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,51,23,22,109,47,0.4208,109,0,99,90.82568807,NA,NA,NA,NA
28,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,54,24,23,99,55,0.4924,99,0,95,95.95959596,NA,NA,NA,NA
29,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,47,21,21,87,42,0.03955,87,0,78,89.65517241,NA,NA,NA,NA
30,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,50,22,22,88,34,0.4509,88,0,79,89.77272727,NA,NA,NA,NA
31,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,47,22,22,84,32,0.2904,84,0,71,84.52380952,NA,NA,NA,NA
32,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,43,20,21,78,43,0.3011,78,0,71,91.02564103,NA,NA,NA,NA
33,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,48,24,22,95,43,0.3468,95,0,83,87.36842105,NA,NA,NA,NA
34,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,43,21,20,88,38,0.3211,88,0,78,88.63636364,NA,NA,NA,NA
35,NA,28/03/2022,Mid Dome,168.5154353,-45.64290554,unsprayed,2,NA,39,21,22,73,45,0.2352,73,0,56,76.71232877,NA,NA,NA,NA
