Location,murrayana,lat,lon,ref1,ref2,ref3,ref4,ref5,ref6,ref7,ref8,ref9,ref10,ref11,ref12,ref13,ref14,ref15,Comments,,"""Georgia Seed Crop Reports"" Key",,,
"Greendale, Canterbury",yes,-43.58182996,172.0925429,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,https://atojs.natlib.govt.nz/cgi-bin/atojs?a=d&d=AJHR1909-II.2.2.2.9&pg=101&e=-------10--1------0--,,,,,,,,,,,,,,Planted in 1896!!,,Year,Author,Author,
"Taita, Hutt Valley",yes,-41.18500585,174.9714716,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,,,,,,,,,,,,,,,,,1941,State Forest Service,,
Mount Ruapehu,yes,-39.35994094,175.6394719,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,,,,,,,,,,,,,,,,,1942,Nelson,Perham,
Karioi State Forest,yes,-39.41841168,175.6119396,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,https://www.scionresearch.com/__data/assets/pdf_file/0007/58669/NZJFS311973HARRIS91-109.pdf,https://scion-portal.elsevierpure.com/en/publications/provenance-variation-in-pinus-contorta-6-year-results-from-iufro-,https://scion-portal.elsevierpure.com/en/publications/comparison-of-height-growth-of-pinus-muricata-provenances-with-p-,https://scion-portal.elsevierpure.com/en/publications/provenance-variation-in-pinus-contorta-coastal-origins-12-year-re,https://books.google.co.nz/books?id=_XeoDwAAQBAJ&pg=PA21&source=gbs_toc_r&cad=3#v=onepage&q&f=false,Seed crop report control plan 14 (1944) Georgia email - murrayana record is 1943 + 1947 (State Forest Service),"Miller,JT. (1971) Assessment of 11 vigorous provenances of Pinus contorta 10 years after planting, Forest Research Institute.",https://forms.justice.govt.nz/search/Documents/WT/wt_DOC_93878720/Wai%20903%2C%20A170.pdf,Wendelken 1956,shelbourne 2019,Thulin + Miller 1966,Miller 1968,Miller 1971 6 year old,Mohrdiek + Miller 1980,"Hybrids are both con/lat and con/murr. Con x con from Oregon, Washington, Waiotapu strain, Kaingaroa strain; bolanderi from california; murrayana from oregon; latifolia from robbins range (kamloops)",,1943,Cutler,Evans,
Erua State Forest (planted by Scion),yes,-39.24755018,175.350807,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,Seed crop report control plan 14 (1944) Georgia email - murrayana record is 1945 + 1947 (state forest Service),,,,,,,,,,,,,,,,1944,Gimblett,State Forest Service,"Hocking, Cutler, Bowman"
Points between Erua/National Park Township,yes,-39.19845828,175.4011286,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,,,,,,,,,,,,,,,,,,,,
Taurewa,yes,-39.06221229,175.5517752,https://researcharchive.lincoln.ac.nz/bitstream/handle/10182/5758/cooper_dipp%26r.pdf?sequence=3&isAllowed=n,,,,,,,,,,,,,,,,,,,,
Waiotapu Forest,yes,-38.33562063,176.4119972,https://www.scionresearch.com/__data/assets/pdf_file/0007/58669/NZJFS311973HARRIS91-109.pdf,Seed crop report control plan 14 (1944) Georgia email - murrayana record is 1941 (State Forest Service in Endnote) - also 1947 (State forest service record),,,,,,,,,,,,,,,,,,,
Kaingaroa,yes,-38.40250725,176.5076587,https://www.scionresearch.com/__data/assets/pdf_file/0007/58669/NZJFS311973HARRIS91-109.pdf,https://scion-portal.elsevierpure.com/en/publications/an-approach-to-the-improvement-of-pinus-contorta-in-new-zealand,https://scion-portal.elsevierpure.com/en/publications/provenance-variation-in-pinus-contorta-6-year-results-from-iufro-,https://scion-portal.elsevierpure.com/en/publications/comparison-of-height-growth-of-pinus-muricata-provenances-with-p-,https://scion-portal.elsevierpure.com/en/publications/assessment-of-pinus-contorta-provenance-trials-at-tara-hills-1976,https://scion-portal.elsevierpure.com/en/publications/provenance-variation-in-pinus-contorta-coastal-origins-12-year-re,https://books.google.co.nz/books?id=_XeoDwAAQBAJ&pg=PA21&source=gbs_toc_r&cad=3#v=onepage&q&f=false,Seed crop report control plan 14 (1944) Georgia email - murrayana record is 1942 + 1941 (State forest service) + 1947 (state forest Service record),"Miller,JT. (1971) Assessment of 11 vigorous provenances of Pinus contorta 10 years after planting, Forest Research Institute.",shelbourn 2019,Thulin + Miller 1966,Hignett 1971,Miller 1968,Miller 1971 6 year old,,"Hybrids are both con/lat and con/murr. Con x con from Oregon, Washington, Waiotapu strain, Kaingaroa strain; bolanderi from california; murrayana from oregon; latifolia from robbins range (kamloops)",,,,,
Golden Downs,yes,-41.54656996,172.879847,https://www.scionresearch.com/__data/assets/pdf_file/0007/58669/NZJFS311973HARRIS91-109.pdf,https://scion-portal.elsevierpure.com/en/publications/an-approach-to-the-improvement-of-pinus-contorta-in-new-zealand,https://scion-portal.elsevierpure.com/en/publications/comparison-of-height-growth-of-pinus-muricata-provenances-with-p-,https://scion-portal.elsevierpure.com/en/publications/assessment-of-pinus-contorta-provenance-trials-at-tara-hills-1976,shelbourn 2019,Thulin + Miller 1966,Miller 1968,Miller 1971 6 year old,Mohrdiek + Miller 1980,,,,,,,,,,,,
